PostCode;Municipality
1011;Amsterdam
1012;Amsterdam
1013;Amsterdam
1014;Amsterdam
1015;Amsterdam
1016;Amsterdam
1017;Amsterdam
1018;Amsterdam
1019;Amsterdam
1021;Amsterdam
1022;Amsterdam
1023;Amsterdam
1024;Amsterdam
1025;Amsterdam
1026;Amsterdam
1027;Amsterdam
1028;Amsterdam
1031;Amsterdam
1032;Amsterdam
1033;Amsterdam
1034;Amsterdam
1035;Amsterdam
1036;Amsterdam
1037;Amsterdam
1041;Amsterdam
1042;Amsterdam
1043;Amsterdam
1044;Amsterdam
1045;Amsterdam
1046;Amsterdam
1047;Amsterdam
1051;Amsterdam
1052;Amsterdam
1053;Amsterdam
1054;Amsterdam
1055;Amsterdam
1056;Amsterdam
1057;Amsterdam
1058;Amsterdam
1059;Amsterdam
1060;Amsterdam
1061;Amsterdam
1062;Amsterdam
1063;Amsterdam
1064;Amsterdam
1065;Amsterdam
1066;Amsterdam
1067;Amsterdam
1068;Amsterdam
1069;Amsterdam
1071;Amsterdam
1072;Amsterdam
1073;Amsterdam
1074;Amsterdam
1075;Amsterdam
1076;Amsterdam
1077;Amsterdam
1078;Amsterdam
1079;Amsterdam
1081;Amsterdam
1082;Amsterdam
1083;Amsterdam
1086;Amsterdam
1087;Amsterdam
1091;Amsterdam
1092;Amsterdam
1093;Amsterdam
1094;Amsterdam
1095;Amsterdam
1096;Amsterdam
1097;Amsterdam
1098;Amsterdam
1101;Amsterdam
1102;Amsterdam
1103;Amsterdam
1104;Amsterdam
1105;Amsterdam
1106;Amsterdam
1107;Amsterdam
1108;Amsterdam
1109;Amsterdam
1111;Diemen
1112;Diemen
1113;Diemen
1115;Ouder-Amstel
1117;Haarlemmermeer
1118;Haarlemmermeer
1119;Haarlemmermeer
1121;Landsmeer
1127;Landsmeer
1131;Edam-Volendam
1132;Edam-Volendam
1135;Edam-Volendam
1141;Waterland
1145;Waterland
1151;Waterland
1153;Waterland
1154;Waterland
1156;Waterland
1161;Haarlemmermeer
1165;HaarlemmerliedeenSpaarnwoude
1171;Haarlemmermeer
1175;Haarlemmermeer
1181;Amstelveen
1182;Amstelveen
1183;Amstelveen
1184;Amstelveen
1185;Amstelveen
1186;Amstelveen
1187;Amstelveen
1188;Amstelveen
1189;Amstelveen
1191;Ouder-Amstel
1211;Hilversum
1212;Hilversum
1213;Hilversum
1214;Hilversum
1215;Hilversum
1216;Hilversum
1217;Hilversum
1218;Hilversum
1221;Hilversum
1222;Hilversum
1223;Hilversum
1231;Wijdemeren
1241;Wijdemeren
1243;Wijdemeren
1244;Wijdemeren
1251;Laren
1252;Laren
1261;Blaricum
1271;Huizen
1272;Huizen
1273;Huizen
1274;Huizen
1275;Huizen
1276;Huizen
1277;Huizen
1309;Almere
1311;Almere
1312;Almere
1313;Almere
1314;Almere
1315;Almere
1316;Almere
1317;Almere
1318;Almere
1319;Almere
1321;Almere
1322;Almere
1323;Almere
1324;Almere
1325;Almere
1326;Almere
1327;Almere
1328;Almere
1329;Almere
1331;Almere
1332;Almere
1333;Almere
1334;Almere
1335;Almere
1336;Almere
1338;Almere
1339;Almere
1343;Almere
1349;Almere
1351;Almere
1352;Almere
1353;Almere
1354;Almere
1355;Almere
1356;Almere
1357;Almere
1358;Almere
1359;Almere
1361;Almere
1363;Almere
1381;Weesp
1382;Weesp
1383;Weesp
1391;DeRondeVenen
1393;StichtseVecht
1394;Wijdemeren
1396;DeRondeVenen
1398;Muiden
1399;Muiden
1401;Bussum
1402;Bussum
1403;Bussum
1404;Bussum
1405;Bussum
1406;Bussum
1411;Naarden
1412;Naarden
1421;Uithoorn
1422;Uithoorn
1423;Uithoorn
1424;Uithoorn
1426;DeRondeVenen
1427;DeRondeVenen
1428;Nieuwkoop
1431;Aalsmeer
1432;Aalsmeer
1433;Aalsmeer
1435;Haarlemmermeer
1436;Haarlemmermeer
1437;Haarlemmermeer
1438;Haarlemmermeer
1441;Purmerend
1442;Purmerend
1443;Purmerend
1444;Purmerend
1445;Purmerend
1446;Purmerend
1447;Purmerend
1448;Purmerend
